,R2,folds,target
0,-0.3103309544716364,0,FearAffect_Unadj
1,-0.034154976538122606,1,FearAffect_Unadj
2,-0.18175642608283615,2,FearAffect_Unadj
3,-0.13365297020527,3,FearAffect_Unadj
4,-0.0038081845132129644,4,FearAffect_Unadj
