,R2,folds,target
0,-0.08673853717891733,0,AngAggr_Unadj
1,-0.11664342333984856,1,AngAggr_Unadj
2,-0.06910137241783065,2,AngAggr_Unadj
3,-0.09716052430946132,3,AngAggr_Unadj
4,-0.22230228278397068,4,AngAggr_Unadj
